Rank,SW,LW,MildDip,SevereDip,Mult,Lookback,RallyThreshold,RallyMultiplier,FinalValue,TotalReturn,CAGR,MaxDrawdown,TotalTrades
83,15,325,3.5000,18.0000,1.5000,63,10.0000,0.5000,360546.5736,200.4555,5.6547,34.4022,219
84,15,325,2.5000,18.0000,0.5000,63,10.0000,0.5000,360546.4731,200.4554,5.6547,34.4004,264
85,15,325,1.0000,18.0000,0.5000,63,10.0000,0.5000,360545.6268,200.4547,5.6547,34.3996,289
86,15,325,1.5000,18.0000,0.7500,63,10.0000,0.5000,360544.8921,200.4541,5.6547,34.4010,281
87,15,325,12.0000,18.0000,0.7500,63,10.0000,0.5000,360543.9039,200.4533,5.6547,34.4022,222
88,15,325,6.0000,18.0000,0.5000,63,10.0000,0.5000,360543.7564,200.4531,5.6547,34.4022,227
89,15,325,3.0000,18.0000,1.5000,63,10.0000,0.5000,360543.7092,200.4531,5.6547,34.4022,218
90,15,325,3.0000,18.0000,1.0000,63,10.0000,0.5000,360543.7092,200.4531,5.6547,34.4022,218
91,15,325,3.0000,18.0000,2.0000,63,10.0000,0.5000,360543.7092,200.4531,5.6547,34.4022,218
92,15,325,1.5000,18.0000,0.2500,63,10.0000,0.1000,360542.8807,200.4524,5.6547,34.3999,519
93,15,325,2.5000,18.0000,0.2500,63,10.0000,0.1000,360542.1021,200.4518,5.6547,34.4025,483
94,15,325,10.0000,18.0000,0.7500,63,10.0000,0.5000,360541.6695,200.4514,5.6547,34.4022,223
95,15,325,9.0000,18.0000,0.7500,63,10.0000,0.5000,360541.6319,200.4514,5.6547,34.4022,224
96,15,325,8.0000,18.0000,0.7500,63,10.0000,0.5000,360541.6319,200.4514,5.6547,34.4022,224
97,15,325,7.0000,18.0000,0.7500,63,10.0000,0.5000,360541.6319,200.4514,5.6547,34.4022,225
98,15,325,2.0000,18.0000,0.2500,63,10.0000,0.1000,360540.4323,200.4504,5.6547,34.4012,494
99,15,325,3.0000,18.0000,0.7500,63,10.0000,0.5000,360540.3603,200.4503,5.6547,34.4013,260
100,15,325,1.0000,18.0000,0.7500,63,10.0000,0.5000,360540.2012,200.4502,5.6547,34.4012,289
